51.9,0.572,0.904,0.534,0.246,0.001,0.71
50.8,0.563,0.904,0.545,0.038,0,0.71
48.5,0.567,0.903,0.474,0,0,0.71
46.2,0.569,0.895,0.455,0.068,0,0.71
43.3,0.555,0.876,0.503,0.309,0,0.71
40.3,0.537,0.854,0.508,0.464,0,0.71
38.5,0.516,0.834,0.503,0.313,0,0.71
39.2,0.492,0.812,0.485,0.07,0,1.32
39.6,0.465,0.79,0.442,0,0,1.32
39.4,0.446,0.771,0.432,0.04,0,1.32
39.1,0.425,0.751,0.423,0.263,0,1.32
37.9,0.408,0.73,0.431,0.474,0,1.32
37.7,0.395,0.713,0.45,0.379,0,1.32
39.8,0.383,0.706,0.439,0.115,0,1.32
41.9,0.371,0.715,0.452,0.002,0,1.32
44.6,0.363,0.736,0.444,0.019,0,1.32
47.1,0.369,0.76,0.477,0.212,0.011,1.32
47.8,0.36,0.771,0.44,0.468,0.057,1.32
48,0.342,0.768,0.4,0.442,0.104,1.32
47.6,0.326,0.754,0.399,0.172,0.135,1.32
47,0.317,0.736,0.418,0.009,0.138,1.32
46.7,0.321,0.726,0.435,0.007,0.109,1.32
46.9,0.324,0.738,0.444,0.162,0.061,1.32
50,0.325,0.759,0.402,0.445,0.018,1.32
51.5,0.313,0.773,0.416,0.496,0,1.32
49.8,0.301,0.778,0.412,0.24,0,1.32
47.3,0.296,0.775,0.41,0.025,0,1.32
44.5,0.296,0.767,0.408,0.001,0,1.32
41.6,0.301,0.754,0.393,0.114,0,1.32
38.8,0.309,0.731,0.367,0.408,0,1.32
37.6,0.314,0.69,0.376,0.538,0,1.32
38.3,0.317,0.64,0.384,0.315,0.093,6.19
38.2,0.316,0.597,0.387,0.054,0,6.19
37.8,0.317,0.56,0.35,0,0,6.19
36.7,0.318,0.534,0.382,0.073,0,6.19
35.2,0.311,0.5,0.411,0.359,0,6.19
34.3,0.297,0.468,0.411,0.562,0,6.19
34.3,0.276,0.448,0.464,0.395,0,6.19
34.1,0.254,0.437,0.45,0.096,0,6.19
35.6,0.239,0.439,0.475,0,0,6.19
38.9,0.232,0.44,0.46,0.041,0.003,6.19
40.3,0.214,0.435,0.421,0.301,0.017,6.19
40.7,0.178,0.417,0.432,0.569,0.036,6.19
40.3,0.136,0.382,0.424,0.473,0.046,6.19
39.6,0.105,0.345,0.468,0.153,0.054,6.19
39.3,0.096,0.317,0.468,0.004,0.047,6.19
39.4,0.105,0.303,0.439,0.019,0.029,6.19
42.1,0.106,0.294,0.423,0.24,0.011,6.19
44.8,0.099,0.291,0.479,0.555,0.001,6.19
43.5,0.095,0.291,0.411,0.545,0,6.19
41.5,0.113,0.291,0.481,0.224,0,6.19
39.1,0.125,0.301,0.457,0.015,0,6.19
